cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,sshc_cmd_count,sshc_max,sshc_mean,sshc_mean_mos,sshc_median,sshc_min,sshc_std,sshc_std_mos,sshc_uniq_cmds
sshclient,2000,264,20180323_124238_10e9,2000,vagrant,80,14,0.848636865616,0.578102162906,2.41776161989,0.541852712631,0.541640043259,0.0910926124444,0.212549429037,1
sshclient,2000,486,20180323_155630_5b19,2000,vagrant,80,19,1.51640748978,1.19427633286,1.2570256777,0.986018419266,0.985617399216,0.239355357848,0.225791204406,1
sshclient,2000,398,20180323_143652_bba6,2000,vagrant,80,16,1.24971628189,0.916412264109,1.65461824636,0.80980682373,0.809459447861,0.177007140133,0.364999091959,1
sshclient,2000,356,20180323_140034_5f83,2000,vagrant,80,15,1.12530016899,0.814641189575,1.86583722432,0.725810527802,0.725606203079,0.14105918196,0.32913809124,1
sshclient,2000,292,20180323_130553_4142,2000,vagrant,80,18,0.932178735733,0.679716560576,2.18066135866,0.59781229496,0.597413301468,0.127385998304,0.297233996044,1
sshclient,2000,4,20180323_161825_7a3b,2000,vagrant,80,16,0.159336090088,0.0302568078041,4.22631421089,0.0216684341431,0.0213980674744,0.0333283659835,0.151214392124,1
sshclient,2000,436,20180323_151142_4826,2000,vagrant,80,17,1.36352562904,1.02606201172,1.46004001487,0.88595366478,0.885352134705,0.193516892996,0.313231471509,1
sshclient,2000,394,20180323_143341_6e76,2000,vagrant,80,20,1.23947453499,0.975241851807,1.52884124358,0.801999092102,0.80156993866,0.202279004106,0.424487761542,1
sshclient,2000,266,20180323_124411_f8e0,2000,vagrant,80,16,0.855393409729,0.590297847986,2.38930502137,0.545753479004,0.545505285263,0.0954315433743,0.222673601207,1
sshclient,2000,352,20180323_135725_9912,2000,vagrant,80,11,1.11469745636,0.753830736334,2.00772828189,0.71774315834,0.717472791672,0.114116137087,0.266270986536,1
sshclient,2000,438,20180323_151318_58cc,2000,vagrant,80,20,1.37117123604,1.06497315168,1.42013275862,0.889969825745,0.889686822891,0.216918655293,0.321501232862,1
sshclient,2000,144,20180323_172853_c741,2000,vagrant,80,10,0.48875617981,0.320481753349,3.10566363811,0.301712274551,0.301605463028,0.0560916813823,0.159810709572,1
sshclient,2000,188,20180323_180518_cf26,2000,vagrant,80,14,0.621450185776,0.457860708237,2.69832501411,0.389850735664,0.389522075653,0.0930915194243,0.217213545323,1
sshclient,2000,148,20180323_173155_0cf5,2000,vagrant,80,15,0.502817630768,0.335065746307,3.05442724864,0.309893608093,0.309648036957,0.0642850103012,0.17728498407,1
sshclient,2000,406,20180323_144612_d6a7,2000,vagrant,80,18,1.2737569809,0.959636529287,1.57062614317,0.825944781303,0.825383663177,0.1832939493,0.356650353011,1
sshclient,2000,44,20180323_153230_ee04,2000,vagrant,80,15,0.24284529686,0.111177428563,3.89085900646,0.101791858673,0.101494073868,0.0351900983573,0.127359265253,1
sshclient,2000,196,20180323_181125_84aa,2000,vagrant,80,12,0.643402338028,0.44491759936,2.72852560149,0.405946493149,0.405521154404,0.0874506500499,0.204051516783,1
sshclient,2000,472,20180323_154340_fea3,2000,vagrant,80,11,1.47344374657,1.14312247796,1.33831003507,0.957931041718,0.957771778107,0.245071982551,0.255738369526,1
sshclient,2000,226,20180323_121018_e4b3,2000,vagrant,80,16,0.736716508865,0.50465144217,2.58914663494,0.465610861778,0.465480804443,0.089046263956,0.207774615897,1
sshclient,2000,26,20180323_125503_930a,2000,vagrant,80,21,0.203722238541,0.0723544302441,4.10401246472,0.065767288208,0.0655732154846,0.0293750753654,0.116310117317,1
sshclient,2000,386,20180323_142719_b814,2000,vagrant,80,15,1.21551585197,0.857369995117,1.77428890652,0.785791873932,0.785593271255,0.1495312361,0.329651040844,1
sshclient,2000,440,20180323_151624_4736,2000,vagrant,80,12,1.37626695633,0.999926030636,1.51088482671,0.893846392632,0.893630981445,0.187880388295,0.294959559582,1
sshclient,2000,156,20180323_173759_ba65,2000,vagrant,80,18,0.52628326416,0.366637746493,2.9461858352,0.325842261314,0.325536251068,0.0718244863018,0.187711051124,1
sshclient,2000,124,20180323_171217_9c6c,2000,vagrant,80,13,0.428676366806,0.27467408547,3.28851635273,0.261840820312,0.26162147522,0.0444567898218,0.150716601318,1
sshclient,2000,372,20180323_141443_ab36,2000,vagrant,80,16,1.17335486412,0.852649912238,1.77715020478,0.757856249809,0.757592916489,0.159148703947,0.371346975876,1
sshclient,2000,200,20180323_114852_736d,2000,vagrant,80,30,0.657883882523,0.464893023173,2.68191627926,0.413761854172,0.413519144058,0.0904938533326,0.211152324443,1
sshclient,2000,160,20180323_174230_2ace,2000,vagrant,80,16,0.535296916962,0.367952972651,2.93250486255,0.333783864975,0.333487987518,0.0669089289422,0.168723383806,1
sshclient,2000,254,20180323_123324_f5b8,2000,vagrant,80,15,0.819268226624,0.55050166448,2.48216278288,0.521787881851,0.521499156952,0.0757476351686,0.17674448206,1
sshclient,2000,130,20180323_171649_a6d9,2000,vagrant,80,18,0.446092844009,0.292480442259,3.21980585875,0.273750424385,0.273571491241,0.0530517946409,0.171718549807,1
sshclient,2000,8,20180323_165117_6415,2000,vagrant,80,18,0.170876026154,0.0400468508403,4.20835422304,0.0297607183456,0.0295181274414,0.0333125129,0.145749073057,1
sshclient,2000,30,20180323_132916_4b84,2000,vagrant,80,14,0.208918094635,0.0833919559206,4.04732214144,0.073731303215,0.07355427742,0.0348147715278,0.13478376596,1
sshclient,2000,178,20180323_175611_3651,2000,vagrant,80,14,0.592743873596,0.431535243988,2.75975109736,0.369951844215,0.369494438171,0.0976232088279,0.227787487265,1
sshclient,2000,430,20180323_150653_d311,2000,vagrant,80,24,1.34633994102,1.14521533251,1.29695865181,1.33809518814,0.873513936996,0.224684719368,0.35259944559,1
sshclient,2000,500,20180323_160921_744f,2000,vagrant,80,21,1.55540990829,1.17364862987,1.26764831013,1.01371693611,1.0134062767,0.234269070529,0.189256097244,1
sshclient,2000,52,20180323_161228_a1db,2000,vagrant,80,27,0.258815765381,0.142286009259,3.75384849984,0.117862701416,0.11750793457,0.0410134670715,0.131924039912,1
sshclient,2000,230,20180323_121323_722a,2000,vagrant,80,17,0.747530221939,0.534771147896,2.51886732158,0.473733663559,0.473465919495,0.104374757022,0.243541099718,1
sshclient,2000,214,20180323_115936_c310,2000,vagrant,80,11,0.698600769043,0.555927883495,2.46950160518,0.441913366318,0.441483020782,0.125081558907,0.291856970784,1
sshclient,2000,54,20180323_161357_eb4f,2000,vagrant,80,15,0.257967710495,0.130900907516,3.77981299633,0.121824026108,0.12150812149,0.0339603740535,0.115194588456,1
sshclient,2000,462,20180323_153536_2392,2000,vagrant,80,13,1.44250869751,1.08086666694,1.40039838155,0.93786740303,0.937646150589,0.217163641159,0.266932372318,1
sshclient,2000,190,20180323_180650_76d0,2000,vagrant,80,17,0.62898683548,0.434195322149,2.75354424832,0.393758535385,0.393447637558,0.0874077266098,0.20395136209,1
sshclient,2000,284,20180323_125939_fadd,2000,vagrant,80,13,0.910977840424,0.630691565,2.295053015,0.581784963608,0.581556558609,0.0999011008354,0.233102568616,1
sshclient,2000,484,20180323_155452_3158,2000,vagrant,80,16,1.50867938995,1.13160903752,1.32647619744,0.981942534447,0.981617450714,0.226994457054,0.220121758041,1
sshclient,2000,120,20180323_170917_d75c,2000,vagrant,80,14,0.41838312149,0.265479496547,3.32602453232,0.253699302673,0.253588438034,0.042407904307,0.148544963167,1
sshclient,2000,384,20180323_142544_34d6,2000,vagrant,80,20,1.20808577538,0.918482279778,1.63608602603,0.781859874725,0.781467199326,0.191750844747,0.42877765018,1
sshclient,2000,320,20180323_133045_3e7b,2000,vagrant,80,16,1.01614141464,0.774672478437,1.95909755031,0.653930544853,0.653588294983,0.155508785693,0.362853833283,1
sshclient,2000,24,20180323_123803_1616,2000,vagrant,80,20,0.197134017944,0.0686005473137,4.12505337453,0.0618562698364,0.061577796936,0.0294879257273,0.119800604832,1
sshclient,2000,158,20180323_173930_0ff7,2000,vagrant,80,16,0.529237508774,0.342262864113,3.00593227744,0.32980632782,0.329443216324,0.0482770150425,0.122428547193,1
sshclient,2000,312,20180323_132300_d0a0,2000,vagrant,80,11,0.995264053345,0.702010718259,2.1286416574,0.637768030167,0.637621164322,0.136318763259,0.318077114272,1
sshclient,2000,426,20180323_150341_a2fa,2000,vagrant,80,17,1.33625221252,0.968186911415,1.56720755521,0.865807294846,0.865575313568,0.179085828314,0.300558535611,1
sshclient,2000,48,20180323_160752_9653,2000,vagrant,80,13,0.244623661041,0.120157681979,3.84286934119,0.109820127487,0.109522819519,0.0359305685271,0.125934326864,1
sshclient,2000,338,20180323_134454_c74e,2000,vagrant,80,12,1.0703830719,0.783723076185,1.9379794889,0.689788222313,0.689530611038,0.162786472603,0.37983510274,1
sshclient,2000,380,20180323_142233_b11e,2000,vagrant,80,12,1.19760084152,0.913104792436,1.64077959193,0.77388381958,0.773579835892,0.197038886834,0.453099707956,1
sshclient,2000,388,20180323_142854_858d,2000,vagrant,80,12,1.22222757339,0.896582225959,1.69278285768,0.789878129959,0.789714813232,0.184895729955,0.399978457616,1
sshclient,2000,82,20180323_163747_5b45,2000,vagrant,80,10,0.314088582993,0.19133272171,3.57063775063,0.177706956863,0.177546977997,0.0409187081725,0.155007226583,1
sshclient,2000,280,20180323_125632_3b9c,2000,vagrant,80,13,0.8967192173,0.623828612841,2.31106657004,0.573812484741,0.573628425598,0.0992640211516,0.231616049354,1
sshclient,2000,456,20180323_152916_491d,2000,vagrant,80,20,1.42591547966,1.11772302389,1.34933682919,0.948868751526,0.925523757935,0.228003758545,0.286802216943,1
sshclient,2000,228,20180323_121151_4276,2000,vagrant,80,18,0.74018073082,0.517666565047,2.55877801489,0.469863653183,0.469577074051,0.0987763615154,0.230478176869,1
sshclient,2000,136,20180323_172121_1b23,2000,vagrant,80,11,0.463716030121,0.312761436809,3.14025313059,0.285751819611,0.285615444183,0.0569807333834,0.180734041212,1
sshclient,2000,298,20180323_131034_caad,2000,vagrant,80,17,0.949221611023,0.702154804679,2.12830545575,0.609775066376,0.609571695328,0.144846142191,0.337974331778,1
sshclient,2000,50,20180323_161059_e0ed,2000,vagrant,80,16,0.251847743988,0.124694928527,3.81335506886,0.113837838173,0.113473653793,0.0339447110537,0.12332121479,1
sshclient,2000,218,20180323_120241_d42f,2000,vagrant,80,16,0.710178852081,0.508945479989,2.57912721336,0.449895262718,0.449532270432,0.0971271324994,0.226629975832,1
sshclient,2000,488,20180323_155807_2b19,2000,vagrant,80,17,1.51938033104,1.14415177177,1.29578823295,0.9899122715,0.989664793015,0.222365473397,0.218454193299,1
sshclient,2000,234,20180323_121628_aec5,2000,vagrant,80,17,0.759100675583,0.525900546242,2.5395653921,0.481745481491,0.48134303093,0.0965121107278,0.225194925032,1
sshclient,2000,146,20180323_173024_6b12,2000,vagrant,80,19,0.495802164078,0.354199171066,3.00531835472,0.305897951126,0.305443763733,0.0809820417878,0.227865954547,1
sshclient,2000,232,20180323_121456_f67c,2000,vagrant,80,13,0.754820108414,0.499024959711,2.60227509401,0.477732658386,0.477503061295,0.0738418302138,0.172297603832,1
sshclient,2000,206,20180323_115328_d3d1,2000,vagrant,80,25,0.67524433136,0.445383367538,2.72743880908,0.425783872604,0.425510644913,0.0561215189874,0.130950210971,1
sshclient,2000,116,20180323_170447_30ba,2000,vagrant,80,17,0.404895544052,0.281941540101,3.26818194389,0.245811700821,0.245626211166,0.0651909458931,0.240503594415,1
sshclient,2000,64,20180323_162252_4f9e,2000,vagrant,80,17,0.27849316597,0.149763205472,3.67148349313,0.14178609848,0.141460895538,0.0321827320826,0.10290759491,1
sshclient,2000,10,20180323_170748_80ef,2000,vagrant,80,15,0.173470258713,0.0460846424103,4.19185084534,0.0337612628937,0.0335023403168,0.0358870265794,0.158555951468,1
sshclient,2000,174,20180323_175309_54c1,2000,vagrant,80,15,0.57860660553,0.418164396286,2.790949742,0.361826658249,0.361634254456,0.0934404393144,0.218027691734,1
sshclient,2000,260,20180323_123932_9c2e,2000,vagrant,80,17,0.835103988647,0.615343809128,2.33086444537,0.53381562233,0.533561706543,0.128305709065,0.299379987818,1
