cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,mean_ql_max,mean_ql_mean,mean_ql_median,mean_ql_min,mean_ql_std,ql_switches_max,ql_switches_mean,ql_switches_median,ql_switches_min,ql_switches_std,segment_count,stalling_count_max,stalling_count_mean,stalling_count_median,stalling_count_min,stalling_count_std,stalling_time_max,stalling_time_mean,stalling_time_median,stalling_time_min,stalling_time_std,video_duration,watch_count
dashclient,500,0,20180613_085000_572d,500,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,16.553946495056152,16.553946495056152,16.553946495056152,16.553946495056152,0.0,76.16999983787537,1
dashclient,3750,50,20180613_023545_17a1,3750,vagrant,150,4.0,4.0,4.0,4.0,0.0,6,6.0,6.0,6,0.0,60,1,1.0,1.0,1,0.0,4.9471869468688965,4.9471869468688965,4.9471869468688965,4.9471869468688965,0.0,64.15000009536743,1
dashclient,3000,80,20180612_232439_6c54,3000,vagrant,150,2.2333333333333334,2.2333333333333334,2.2333333333333334,2.2333333333333334,0.0,6,6.0,6.0,6,0.0,60,1,1.0,1.0,1,0.0,5.38031005859375,5.38031005859375,5.38031005859375,5.38031005859375,0.0,64.14000010490417,1
dashclient,4250,180,20180613_052533_2265,4250,vagrant,150,1.2166666666666666,1.2166666666666666,1.2166666666666666,1.2166666666666666,0.0,3,3.0,3.0,3,0.0,60,1,1.0,1.0,1,0.0,4.962244987487793,4.962244987487793,4.962244987487793,4.962244987487793,0.0,64.15000009536743,1
dashclient,2750,110,20180612_222615_8a86,2750,vagrant,150,1.0,1.0,1.0,1.0,0.0,2,2.0,2.0,2,0.0,60,1,1.0,1.0,1,0.0,5.497405767440796,5.497405767440796,5.497405767440796,5.497405767440796,0.0,64.14999985694885,1
dashclient,750,10,20180613_103902_ad2d,750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,10.946873426437378,10.946873426437378,10.946873426437378,10.946873426437378,0.0,70.16000008583069,1
dashclient,1250,10,20180612_144346_bcf1,1250,vagrant,150,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,2,2.0,2.0,2,0.0,60,1,1.0,1.0,1,0.0,6.7113893032073975,6.7113893032073975,6.7113893032073975,6.7113893032073975,0.0,66.16000008583069,1
dashclient,4250,20,20180613_043230_ee5f,4250,vagrant,150,4.55,4.55,4.55,4.55,0.0,4,4.0,4.0,4,0.0,60,1,1.0,1.0,1,0.0,4.843681812286377,4.836739659309387,4.836739659309387,4.8297975063323975,0.006942152976989746,64.14999985694885,2
dashclient,1500,10,20180612_155007_b240,1500,vagrant,150,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.0,2,2.0,2.0,2,0.0,60,1,1.0,1.0,1,0.0,5.626114845275879,5.626114845275879,5.626114845275879,5.626114845275879,0.0,65.14999985694885,1
dashclient,3500,140,20180613_015554_ac22,3500,vagrant,150,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,3,3.0,3.0,3,0.0,60,1,1.0,1.0,1,0.0,4.70806360244751,4.70806360244751,4.70806360244751,4.70806360244751,0.0,64.14999985694885,1
dashclient,3250,200,20180613_000148_8b7d,3250,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,5.863681077957153,5.855448365211487,5.855448365211487,5.84721565246582,0.008232712745666504,64.15000009536743,2
dashclient,5000,180,20180613_084441_0abb,5000,vagrant,150,1.75,1.75,1.75,1.75,0.0,5,5.0,5.0,5,0.0,60,1,1.0,1.0,1,0.0,4.762697458267212,4.762697458267212,4.762697458267212,4.762697458267212,0.0,63.139999866485596,1
dashclient,3750,210,20180613_021709_3a4e,3750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,5.78692102432251,5.78692102432251,5.78692102432251,5.78692102432251,0.0,64.15000009536743,1
dashclient,3250,130,20180613_004655_aa2e,3250,vagrant,150,1.3166666666666667,1.3166666666666667,1.3166666666666667,1.3166666666666667,0.0,3,3.0,3.0,3,0.0,60,1,1.0,1.0,1,0.0,4.662292003631592,4.662292003631592,4.662292003631592,4.662292003631592,0.0,63.14999985694885,1
dashclient,750,140,20180613_104659_0f1a,750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,12.700620651245117,12.700620651245117,12.700620651245117,12.700620651245117,0.0,71.16999983787537,1
dashclient,1000,80,20180612_132643_14e3,1000,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,9.229845762252808,9.229845762252808,9.229845762252808,9.229845762252808,0.0,68.16000008583069,1
dashclient,3000,230,20180612_230605_168f,3000,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,6.5786216259002686,6.5786216259002686,6.5786216259002686,6.5786216259002686,0.0,65.15000009536743,1
dashclient,2000,140,20180612_181053_c0a3,2000,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,6.327718019485474,6.327718019485474,6.327718019485474,6.327718019485474,0.0,65.15000009536743,1
dashclient,3000,240,20180612_230845_7aa3,3000,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,8.023443698883057,7.378734111785889,7.378734111785889,6.734024524688721,0.644709587097168,65.1399998664856,2
dashclient,4000,240,20180613_033408_3226,4000,vagrant,150,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.0,1,1.0,1.0,1,0.0,60,1,1.0,1.0,1,0.0,6.117465257644653,6.117465257644653,6.117465257644653,6.117465257644653,0.0,65.14999985694885,1
dashclient,2750,230,20180612_215944_695f,2750,vagrant,150,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,60,1,1.0,1.0,1,0.0,6.775369882583618,6.775369882583618,6.775369882583618,6.775369882583618,0.0,65.15000009536743,1
