cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,10000,0,20180403_170716_c833,10000,vagrant,300,145,510,1352,1300.691824,485.917241379,1289.15172414,1286.0055076,486.0,1288.0,1285.575777,471,1277,1274.272055,7.72680372718,8.03125878782,6.00863444955
webclient,1000,240,20180317_212304_87ab,1000,vagrant,600,44,4644,13097,13092.923821,4626.68181818,13076.5227273,13072.9662704,4626.0,13078.5,13074.200254,4616,13064,13061.215393,4.66014400515,7.69146113428,7.66897718736
webclient,8750,240,20180327_212217_ceb5,8750,vagrant,300,101,1606,3118,3114.386334,1358.69306931,2824.01980198,2821.05102186,1355.0,2839.0,2835.373821,1336,2660,2657.589305,26.9556814762,74.2088276617,74.1302155919
webclient,7500,240,20180327_154658_e044,7500,vagrant,300,101,1690,3293,3290.30984,1372.3960396,2829.93069307,2826.88223626,1366.0,2803.0,2799.042092,1346,2746,2742.722874,42.071151238,79.2845804775,79.2429209147
webclient,6750,220,20180319_083121_ce53,6750,vagrant,300,84,1732,4281,4277.269524,1304.58333333,3398.28571429,3388.56512933,1289.5,3435.5,3432.3244485,1262,2782,2779.834432,67.2524045124,388.305769656,393.599692143
webclient,11000,240,20180403_215609_ace1,11000,vagrant,300,113,1603,2871,2868.669143,1331.92035398,2542.60176991,2536.86535613,1334.0,2549.0,2544.198771,1297,2400,2396.475312,29.8886255906,77.1057818181,74.8633636057
webclient,1750,140,20180318_050056_3fde,1750,vagrant,600,77,2700,7559,7553.526552,2680.22077922,7503.5974026,7499.90793336,2680.0,7502.0,7498.058259,2665,7493,7488.532719,7.25173221872,8.63285740759,8.5196964289
webclient,9750,120,20180404_061109_037b,9750,vagrant,300,146,903,2187,2183.761022,753.51369863,1733.17808219,1730.38178963,750.0,1714.0,1711.299532,728,1678,1675.364595,18.2081707917,70.9769097058,70.9972641038
webclient,5500,160,20180319_033725_e2a5,5500,vagrant,300,95,1260,3181,3176.676473,1151.91578947,3017.51578947,3014.48656155,1144.0,3044.0,3040.78116,1029,2764,2761.663119,35.7434316845,91.4882636313,91.3393300804
webclient,1500,20,20180318_012722_1944,1500,vagrant,600,70,2844,8329,8325.554614,2826.35714286,8312.72857143,8308.92695107,2829.0,8312.0,8308.9054175,2809,8304,8299.562822,9.01433099377,4.77769050176,4.70479405928
