cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,mean_ql_max,mean_ql_mean,mean_ql_median,mean_ql_min,mean_ql_std,ql_switches_max,ql_switches_mean,ql_switches_median,ql_switches_min,ql_switches_std,segment_count,stalling_count_max,stalling_count_mean,stalling_count_median,stalling_count_min,stalling_count_std,stalling_time_max,stalling_time_mean,stalling_time_median,stalling_time_min,stalling_time_std,video_duration,watch_count
dashclient,2000,40,20180614_033113_b1c2,2000,vagrant,300,1.75,1.75,1.75,1.75,0.0,1,1.0,1.0,1,0.0,16,1,1.0,1.0,1,0.0,5.720953702926636,5.674549758434296,5.678049206733704,5.62114691734314,0.04662887305214981,65.14000010490417,4
dashclient,3500,0,20180614_175239_bde9,3500,vagrant,300,4.333333333333333,4.266666666666667,4.333333333333333,4.133333333333334,0.094280904158206,2,1.3333333333333333,1.0,1,0.4714045207910317,15,1,1.0,1.0,1,0.0,4.956531524658203,4.752937475840251,4.95484733581543,4.347433567047119,0.28673538807048304,64.14999985694885,3
dashclient,2000,30,20180614_032605_a997,2000,vagrant,300,1.75,1.75,1.75,1.75,0.0,1,1.0,1.0,1,0.0,16,1,1.0,1.0,1,0.0,5.59769082069397,5.592403491338094,5.597374200820923,5.58214545249939,0.007254680450039519,65.15000009536743,3
dashclient,1750,50,20180614_012731_b92a,1750,vagrant,300,1.25,1.25,1.25,1.25,0.0,2,2.0,2.0,2,0.0,16,1,1.0,1.0,1,0.0,5.360459327697754,5.358559191226959,5.358829379081726,5.356118679046631,0.0015995685875759183,65.1399998664856,4
dashclient,750,140,20180615_124143_1bd1,750,vagrant,300,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,16,1,1.0,1.0,1,0.0,9.663624286651611,9.622827212015787,9.661608457565308,9.543248891830444,0.05627638743657399,68.15000009536743,3
dashclient,1000,130,20180613_194715_8a39,1000,vagrant,300,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,16,1,1.0,1.0,1,0.0,7.502597808837891,7.498229265213013,7.498979330062866,7.493110656738281,0.003909259239252365,66.14000010490417,3
dashclient,4500,10,20180615_035031_3c1f,4500,vagrant,300,4.375,4.375,4.375,4.375,0.0,1,1.0,1.0,1,0.0,16,1,1.0,1.0,1,0.0,3.9854519367218018,3.9812440872192383,3.981235384941101,3.977053642272949,0.00345166367847171,63.140000104904175,4
dashclient,3250,140,20180614_172142_e44c,3250,vagrant,300,3.533333333333333,3.533333333333333,3.533333333333333,3.533333333333333,0.0,4,4.0,4.0,4,0.0,15,1,1.0,1.0,1,0.0,4.738073825836182,4.679428339004517,4.699368238449097,4.6008429527282715,0.057771260593740485,63.140000104904175,3
dashclient,2500,230,20180614_073329_8b2c,2500,vagrant,300,2.0,2.0,2.0,2.0,0.0,3,3.0,3.0,3,0.0,16,1,1.0,1.0,1,0.0,5.771846771240234,5.7691575686136884,5.768526315689087,5.767099618911743,0.001988755724666069,64.14000010490417,3
dashclient,5000,30,20180615_072153_1f5f,5000,vagrant,300,4.375,4.375,4.375,4.375,0.0,1,1.0,1.0,1,0.0,16,1,1.0,1.0,1,0.0,3.772521495819092,3.7671398520469666,3.7670198678970337,3.761998176574707,0.0037386466817102173,63.12999987602234,4
