cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webdlc_content_size,webdlc_file_cnt,webdlc_max,webdlc_mean,webdlc_mean_mos,webdlc_median,webdlc_min,webdlc_std,webdlc_std_mos
webdlclient,750,160,20180323_055324_da3f,750,vagrant,900,10485760,6,117.46466279,117.464409669,1.60289254267,117.464380741,117.464232445,0.000141705011742,2.02669334179e-06
webdlclient,2750,220,20180321_154419_5092,2750,vagrant,900,10485760,26,32.7599949837,32.7439239667,3.74895476204,32.7422420979,32.7331674099,0.00539844201287,0.000276953331776
webdlclient,4500,120,20180322_161437_72db,4500,vagrant,900,10485760,44,20.0892398357,19.9380816709,4.58238094641,19.9309805632,19.9300076962,0.0305126577209,0.00256241887113
webdlclient,4750,0,20180322_171515_6d91,4750,vagrant,900,10485760,47,18.4798240662,18.476187843,4.71030897774,18.4777488708,18.4727299213,0.00234239395283,0.000212992935266
webdlclient,3500,80,20180322_023604_58b5,3500,vagrant,900,10485760,34,25.2920114994,25.2909119269,4.18285220228,25.2910667658,25.284235239,0.00120700985378,8.01875165928e-05
webdlclient,1000,100,20180320_144250_1bad,1000,vagrant,900,10485760,9,88.0164704323,88.0126145946,2.08783335081,88.014945507,87.9917316437,0.00740589123785,0.000141379478252
webdlclient,3000,200,20180321_183103_8f67,3000,vagrant,900,10485760,28,30.422573328,30.0629203064,3.89248243212,30.0249049664,30.0018503666,0.122624385982,0.0068176217591
webdlclient,2250,20,20180321_053724_c3ea,2250,vagrant,900,10485760,22,39.0547766685,39.0481078516,3.45314538842,39.0441609621,39.0433995724,0.00522584257211,0.000224830390879
webdlclient,1500,80,20180320_210154_a911,1500,vagrant,900,10485760,14,58.6914525032,58.6831106288,2.76878472022,58.683074832,58.674628973,0.00815519393303,0.000233469667488
webdlclient,4750,200,20180322_173023_bd09,4750,vagrant,900,10485760,44,19.8306190968,19.8221774535,4.5921736907,19.8204163313,19.8178231716,0.00276272037373,0.000234138006942
webdlclient,1000,0,20180320_124124_f5fc,1000,vagrant,900,10485760,9,87.8589663506,87.8358456824,2.09121094069,87.8331563473,87.8318870068,0.00818368543522,0.000156508014331
webdlclient,3250,80,20180321_231903_932f,3250,vagrant,900,10485760,32,27.2109751701,27.2104391083,4.05995084018,27.21048069,27.2095112801,0.000279879979376,1.7280173613e-05
webdlclient,1250,200,20180320_161349_be8c,1250,vagrant,900,10485760,11,70.9013254642,70.8898738731,2.45130563365,70.8892095089,70.8829886913,0.00408102307307,9.67107074323e-05
webdlclient,1750,240,20180320_233330_0a74,1750,vagrant,900,10485760,16,50.9335489273,50.9091607928,3.00752798046,50.9114470482,50.8978075981,0.00877985748047,0.00028971437881
webdlclient,1250,0,20180320_155840_91ba,1250,vagrant,900,10485760,11,70.2658383846,70.2464182377,2.46662437552,70.2467823029,70.2078812122,0.0142877108985,0.000341754581695
webdlclient,1000,140,20180320_151310_345b,1000,vagrant,900,10485760,9,88.1143243313,88.1139071782,2.08590096628,88.1138622761,88.1136283875,0.000232851925672,4.43960487837e-06
webdlclient,2750,40,20180321_161440_8fd6,2750,vagrant,900,10485760,27,31.9946563244,31.9873401589,3.78822846988,31.9851024151,31.9836187363,0.00404262162001,0.000212308652316
webdlclient,250,200,20180321_115629_d5c4,250,vagrant,900,10485760,1,353.107190132,353.107190132,1.0,353.107190132,353.107190132,0.0,0.0
webdlclient,2000,40,20180321_030550_ce0b,2000,vagrant,900,10485760,19,43.9577469826,43.9571403955,3.2541986702,43.9571552277,43.9567689896,0.000183972821719,7.0312454014e-06
webdlclient,3500,220,20180322_013526_bfb7,3500,vagrant,900,10485760,33,26.4271643162,26.3873018568,4.11155914085,26.4054741859,26.2903265953,0.0447461315611,0.00285272836294
