cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,sshc_cmd_count,sshc_max,sshc_mean,sshc_median,sshc_min,sshc_std,sshc_uniq_cmds
sshclient,4750,20,20180410_001932_5e65,4750,vagrant,80,18,0.2424097061,0.1219655673,0.0822870731,0.0537638664,0.0740544328,1
sshclient,5000,20,20180410_003857_6e33,5000,vagrant,80,18,0.2303798199,0.0975668828,0.0569853783,0.0538861752,0.0593329192,1
sshclient,250,40,20180409_212753_df9c,250,vagrant,80,13,4.5041964054,3.0857144686,3.1138761044,1.7626330853,0.902861383,1
sshclient,500,40,20180410_010303_bdbc,500,vagrant,80,24,1.9157135487,1.2371152937,1.2995197773,0.1704292297,0.5757638598,1
sshclient,750,40,20180410_012253_bfe3,750,vagrant,80,15,1.5810115337,0.8819617271,0.9230189323,0.1848845482,0.4193323155,1
sshclient,1000,40,20180409_191010_8552,1000,vagrant,80,12,1.0195689201,0.7688251734,0.7950776815,0.3229343891,0.2118417809,1
sshclient,1250,40,20180409_192952_c79b,1250,vagrant,80,21,1.0446481705,0.5542524883,0.5945208073,0.0940806866,0.2600135886,1
sshclient,1500,40,20180409_194933_21b7,1500,vagrant,80,20,0.9193835258,0.5056406736,0.4775081873,0.1042883396,0.1954377656,1
sshclient,1750,40,20180409_200909_7f47,1750,vagrant,80,15,0.628247261,0.3960699399,0.4634826183,0.09405303,0.1696712966,1
sshclient,2000,40,20180409_202840_5b1b,2000,vagrant,80,20,0.5618185997,0.4233619809,0.5127432346,0.0941879749,0.1512357714,1
sshclient,2250,40,20180409_204810_24e0,2250,vagrant,80,19,0.4661867619,0.1956486827,0.1686062813,0.0937926769,0.1224807166,1
sshclient,2500,40,20180409_210738_721c,2500,vagrant,80,18,0.6490511894,0.3221976227,0.3357306719,0.0939252377,0.1710941719,1
sshclient,2750,40,20180409_214830_fe19,2750,vagrant,80,16,0.665528059,0.2820629179,0.3162864447,0.0938751698,0.1559619916,1
sshclient,3000,40,20180409_220757_3e41,3000,vagrant,80,12,0.4678406715,0.2778412104,0.3029353619,0.0938966274,0.1218470944,1
sshclient,3250,40,20180409_222721_d66b,3250,vagrant,80,12,0.3584859371,0.2028804223,0.1982654333,0.0935816765,0.1011252071,1
sshclient,3500,40,20180409_224647_4ab6,3500,vagrant,80,17,0.443911314,0.1959994821,0.1707961559,0.0938303471,0.1071874665,1
sshclient,3750,40,20180409_230622_4dc9,3750,vagrant,80,24,0.5040531158,0.2157642146,0.1834975481,0.0939071178,0.1293965809,1
sshclient,4000,40,20180409_232547_21d2,4000,vagrant,80,16,0.3741295338,0.2026873529,0.2430657148,0.0938136578,0.0949389603,1
sshclient,4250,40,20180409_234512_f6e8,4250,vagrant,80,12,0.3259046078,0.1829343239,0.1642464399,0.0938882828,0.0920608912,1
sshclient,4500,40,20180410_000437_d8af,4500,vagrant,80,16,0.2870793343,0.1933622658,0.2018538713,0.0937144756,0.0766556113,1
sshclient,4750,40,20180410_002402_74d0,4750,vagrant,80,19,0.3455145359,0.1739392657,0.2165908813,0.0940368176,0.0805592212,1
sshclient,5000,40,20180410_004327_f61f,5000,vagrant,80,15,0.4566385746,0.1969932397,0.2148942947,0.0939233303,0.1002625088,1
sshclient,250,60,20180409_212931_1926,250,vagrant,80,19,4.4750642776,2.6616518874,2.9996352196,0.2432086468,1.1655835523,1
sshclient,500,60,20180410_010434_5afa,500,vagrant,80,14,1.9470655918,1.3941219875,1.4926462173,0.1338129044,0.4916089919,1
sshclient,750,60,20180410_012426_633d,750,vagrant,80,12,1.3898088932,0.8488607605,0.9270541668,0.1338775158,0.3385554283,1
sshclient,1000,60,20180409_191142_dbd1,1000,vagrant,80,16,1.3998856544,0.808852613,0.9505683184,0.1339428425,0.320061954,1
sshclient,1250,60,20180409_193124_1ab3,1250,vagrant,80,26,0.8430528641,0.5633231218,0.6479395628,0.1338562965,0.2324001279,1
sshclient,1500,60,20180409_195103_6c9f,1500,vagrant,80,9,0.7573251724,0.5085971355,0.5490136147,0.1340646744,0.2222999157,1
sshclient,1750,60,20180409_201039_1663,1750,vagrant,80,14,0.6471209526,0.3464873518,0.3405035734,0.1337516308,0.1806966845,1
sshclient,2000,60,20180409_203010_e333,2000,vagrant,80,16,0.8407030106,0.4968267828,0.4791702032,0.1342222691,0.1730736823,1
sshclient,2250,60,20180409_204939_10eb,2250,vagrant,80,8,0.49127388,0.2221029401,0.156837225,0.1339225769,0.119256852,1
sshclient,2500,60,20180409_210908_5b6e,2500,vagrant,80,19,0.6427173615,0.3588514579,0.3776586056,0.1339938641,0.1437643938,1
sshclient,2750,60,20180409_214959_5819,2750,vagrant,80,16,0.6088936329,0.3046471328,0.3254978657,0.1339216232,0.1486695763,1
sshclient,3000,60,20180409_220926_e702,3000,vagrant,80,10,0.629830122,0.3604093313,0.3881635666,0.1337177753,0.1524749869,1
sshclient,3250,60,20180409_222850_3b99,3250,vagrant,80,16,0.4155156612,0.2266298383,0.2309019566,0.1339049339,0.0933017954,1
sshclient,3500,60,20180409_224816_43f0,3500,vagrant,80,15,0.4212741852,0.2865863164,0.31127882,0.1339819431,0.0950877109,1
sshclient,3750,60,20180409_230751_23ea,3750,vagrant,80,20,0.4376196861,0.2601207137,0.2923401594,0.1338531971,0.0957611047,1
sshclient,4000,60,20180409_232716_ca88,4000,vagrant,80,15,0.3443870544,0.2146257401,0.2113857269,0.1337738037,0.0792373868,1
sshclient,4250,60,20180409_234640_04de,4250,vagrant,80,14,0.3603281975,0.1813025475,0.1341247559,0.1338720322,0.0780371363,1
sshclient,4500,60,20180410_000606_da5c,4500,vagrant,80,15,0.3072149754,0.1903926373,0.1341788769,0.1338002682,0.0715356973,1
sshclient,4750,60,20180410_002531_1703,4750,vagrant,80,19,0.3807373047,0.1957058154,0.142134428,0.133906126,0.0757006993,1
sshclient,5000,60,20180410_004456_26b4,5000,vagrant,80,15,0.3031916618,0.1926490625,0.1344602108,0.1337134838,0.0737997057,1
sshclient,250,80,20180409_213110_4518,250,vagrant,80,11,4.3354437351,2.7168203701,2.7500548363,0.4291434288,1.1384910483,1
sshclient,500,80,20180410_010605_4d82,500,vagrant,80,17,2.3328742981,1.4607235965,1.5074157715,0.1737310886,0.519263012,1
sshclient,750,80,20180410_012555_6bbb,750,vagrant,80,15,1.8460869789,1.1032700857,1.1968541145,0.6066141129,0.4005668683,1
sshclient,1000,80,20180409_191312_04c8,1000,vagrant,80,15,1.1351532936,0.7902795792,0.7996041775,0.1738073826,0.2352615304,1
sshclient,1250,80,20180409_193255_4ff5,1250,vagrant,80,18,0.8880505562,0.4791089429,0.5204945803,0.1739332676,0.2482695386,1
sshclient,1500,80,20180409_195234_5091,1500,vagrant,80,15,0.8722786903,0.5307782809,0.5990946293,0.1739444733,0.2479859877,1
sshclient,1750,80,20180409_201208_5a6b,1750,vagrant,80,14,0.7201929092,0.3220970801,0.2847852707,0.1738204956,0.1787387016,1
sshclient,2000,80,20180409_203139_b4c2,2000,vagrant,80,16,0.8222839832,0.4747142941,0.4823467731,0.2103729248,0.1734154929,1
sshclient,2250,80,20180409_205109_2190,2250,vagrant,80,22,0.5076384544,0.3230973591,0.3645387888,0.1737878323,0.1373993712,1
sshclient,2500,80,20180409_211037_7e2b,2500,vagrant,80,18,0.6233155727,0.2751402987,0.1741306782,0.1736478806,0.1471347585,1
sshclient,2750,80,20180409_215128_bcdd,2750,vagrant,80,24,0.691904068,0.2973480225,0.2892694473,0.1737594604,0.1339710593,1
sshclient,3000,80,20180409_221055_386e,3000,vagrant,80,12,0.4922540188,0.2923094034,0.288485527,0.1736905575,0.1075564175,1
sshclient,3250,80,20180409_223020_7f90,3250,vagrant,80,10,0.6422586441,0.3203250885,0.2797664404,0.1738138199,0.1554290582,1
sshclient,3500,80,20180409_224945_cd14,3500,vagrant,80,21,0.4175710678,0.2086961496,0.1741881371,0.1736712456,0.0647862433,1
sshclient,3750,80,20180409_230920_f93f,3750,vagrant,80,19,0.3847441673,0.2586809961,0.247354269,0.1737971306,0.0793300401,1
sshclient,4000,80,20180409_232845_e75c,4000,vagrant,80,17,0.5278689861,0.2650118575,0.2408280373,0.1738016605,0.1042666794,1
sshclient,4250,80,20180409_234810_2d18,4250,vagrant,80,14,0.5366098881,0.2675115551,0.2101920843,0.1738746166,0.1096848481,1
sshclient,4500,80,20180410_000735_4c1a,4500,vagrant,80,22,0.3818881512,0.2207721472,0.1769118309,0.1737833023,0.0666291586,1
sshclient,4750,80,20180410_002700_2b16,4750,vagrant,80,17,0.3582062721,0.2336356079,0.1744098663,0.1740086079,0.0733156701,1
sshclient,5000,80,20180410_004625_ec73,5000,vagrant,80,12,0.3442211151,0.2329471707,0.1933175325,0.1734392643,0.0670285029,1
sshclient,250,100,20180409_213248_809f,250,vagrant,80,12,4.9606738091,3.2876228293,3.5739421844,1.4962646961,1.0382962364,1
sshclient,500,100,20180410_010739_f685,500,vagrant,80,8,2.1954278946,1.5407314003,1.6128878593,0.8678100109,0.5541006749,1
sshclient,750,100,20180410_012728_d298,750,vagrant,80,14,1.5459077358,1.1849051203,1.4124457836,0.5294952393,0.3640711213,1
sshclient,1000,100,20180409_191444_4a1e,1000,vagrant,80,21,1.2415702343,0.8778593427,0.8964583874,0.2138791084,0.2741862021,1
sshclient,1250,100,20180409_193424_421d,1250,vagrant,80,27,1.2007222176,0.7481187803,0.7597501278,0.2294118404,0.2292520151,1
sshclient,1500,100,20180409_195405_e137,1500,vagrant,80,16,1.1269426346,0.5638442338,0.4864531755,0.2140769958,0.2271515158,1
sshclient,1750,100,20180409_201337_ae58,1750,vagrant,80,20,0.9655916691,0.4822423816,0.4341847897,0.2137966156,0.2175993038,1
sshclient,2000,100,20180409_203309_9c83,2000,vagrant,80,13,0.9035758972,0.4078014997,0.3989803791,0.2139167786,0.1944563529,1
sshclient,2250,100,20180409_205239_4918,2250,vagrant,80,26,0.8597996235,0.4761661016,0.5058479309,0.2138185501,0.1644166698,1
sshclient,2500,100,20180409_211206_51b3,2500,vagrant,80,9,0.8093216419,0.4021438228,0.437928915,0.2137620449,0.1879430386,1
sshclient,2750,100,20180409_215258_da61,2750,vagrant,80,21,0.6338021755,0.3904201984,0.3631343842,0.2137758732,0.1075728232,1
sshclient,3000,100,20180409_221224_1844,3000,vagrant,80,10,0.4931445122,0.2976819038,0.2477228642,0.2137739658,0.0983656665,1
sshclient,3250,100,20180409_223150_b5f6,3250,vagrant,80,12,0.6269299984,0.3980307579,0.4316387177,0.2137441635,0.1333915123,1
sshclient,3500,100,20180409_225115_f71b,3500,vagrant,80,10,0.5082242489,0.3390642405,0.3530002832,0.2138035297,0.0894208699,1
sshclient,3750,100,20180409_231049_5e52,3750,vagrant,80,21,0.5964479446,0.3487952437,0.3227264881,0.2138521671,0.1084119206,1
sshclient,4000,100,20180409_233015_849c,4000,vagrant,80,13,0.4276030064,0.3109297202,0.3496682644,0.2136795521,0.0824681668,1
sshclient,4250,100,20180409_234939_2fb9,4250,vagrant,80,19,0.567479372,0.3397131217,0.3333480358,0.2135543823,0.1210597612,1
sshclient,4500,100,20180410_000905_f93a,4500,vagrant,80,16,0.5324044228,0.3267833591,0.3168876171,0.2139940262,0.1020813071,1
sshclient,4750,100,20180410_002830_b45d,4750,vagrant,80,15,0.3858232498,0.2573912779,0.2145783901,0.2139377594,0.0578799793,1
sshclient,5000,100,20180410_004754_48ba,5000,vagrant,80,24,0.4643511772,0.2889045378,0.2666448355,0.2134404182,0.0810878184,1
sshclient,250,120,20180409_213426_1da7,250,vagrant,80,11,4.9359490871,3.2301962159,2.8367547989,1.5622932911,0.9830479762,1
sshclient,500,120,20180410_010911_1cab,500,vagrant,80,16,2.4678564072,1.6005364209,1.6557130814,0.8687200546,0.5163625358,1
sshclient,750,120,20180410_012858_2a8b,750,vagrant,80,21,1.8716380596,1.0274911494,1.0487418175,0.2540225983,0.4890426492,1
sshclient,1000,120,20180409_191613_0fe5,1000,vagrant,80,15,1.3403747082,0.8686640898,0.9008691311,0.2539689541,0.3097756322,1
sshclient,1250,120,20180409_193556_860b,1250,vagrant,80,15,1.2890737057,0.8369174957,0.8410503864,0.2540707588,0.266297865,1
sshclient,1500,120,20180409_195536_5c17,1500,vagrant,80,19,1.1742119789,0.6742648075,0.6781659126,0.254067421,0.2484300165,1
sshclient,1750,120,20180409_201507_2463,1750,vagrant,80,28,0.9582333565,0.5240943602,0.4482517242,0.2538046837,0.229755397,1
sshclient,2000,120,20180409_203439_5dff,2000,vagrant,80,14,1.0195770264,0.5523788759,0.5106289387,0.2537670135,0.2322943998,1
sshclient,2250,120,20180409_205408_c3b0,2250,vagrant,80,13,0.6332714558,0.4734638838,0.5201079845,0.254077673,0.1371681017,1
sshclient,2500,120,20180409_211335_90c7,2500,vagrant,80,21,0.771838665,0.3936898368,0.2541530132,0.2538986206,0.1679296723,1
sshclient,2750,120,20180409_215428_6a3d,2750,vagrant,80,12,0.5859725475,0.38842688,0.3929036856,0.2538449764,0.1281914065,1
sshclient,3000,120,20180409_221354_47de,3000,vagrant,80,10,0.7347025871,0.4721385479,0.5146983862,0.2542741299,0.1513083035,1
sshclient,3250,120,20180409_223319_641e,3250,vagrant,80,13,0.7481882572,0.3542188681,0.2542424202,0.2538776398,0.1406346849,1
sshclient,3500,120,20180409_225244_d727,3500,vagrant,80,22,0.6348559856,0.3654683178,0.2847040892,0.2538526058,0.1276939004,1
sshclient,3750,120,20180409_231219_d7e8,3750,vagrant,80,17,0.5991592407,0.3220393938,0.2541646957,0.2537603378,0.1099422649,1
sshclient,4000,120,20180409_233145_7983,4000,vagrant,80,16,0.4300105572,0.311401397,0.2548826933,0.2537946701,0.071545695,1
sshclient,4250,120,20180409_235108_634f,4250,vagrant,80,13,0.4468460083,0.2961832743,0.2542436123,0.2539031506,0.0678239489,1
sshclient,4500,120,20180410_001034_87d4,4500,vagrant,80,13,0.436150074,0.2952404389,0.2622532845,0.2537705898,0.0609582507,1
sshclient,4750,120,20180410_002959_19db,4750,vagrant,80,20,0.4225199223,0.3168040395,0.2915841341,0.2539496422,0.0673239277,1
sshclient,5000,120,20180410_004923_63af,5000,vagrant,80,17,0.4231061935,0.2765428319,0.2538793087,0.2535755634,0.0469639285,1
sshclient,250,140,20180409_213605_639b,250,vagrant,80,9,4.768573761,3.1408326891,2.7242097855,1.9236338139,1.0210928402,1
sshclient,500,140,20180410_011043_dc6e,500,vagrant,80,10,2.5974104404,1.5815614462,1.5437393188,0.5433638096,0.5723871147,1
sshclient,750,140,20180410_013028_4c09,750,vagrant,80,16,1.6161019802,0.9753561467,0.9779108763,0.2936224937,0.4806288172,1
sshclient,1000,140,20180409_191746_ba2c,1000,vagrant,80,16,1.208304882,0.8213231713,0.9090240002,0.2940151691,0.2654645739,1
sshclient,1250,140,20180409_193727_4f0b,1250,vagrant,80,20,1.1228945255,0.6271286488,0.6012144089,0.2938654423,0.2815618393,1
sshclient,1500,140,20180409_195706_7dfc,1500,vagrant,80,14,1.0218160152,0.689496994,0.7079833746,0.2940568924,0.1982086271,1
sshclient,1750,140,20180409_201636_54ba,1750,vagrant,80,20,1.0895812511,0.6875299811,0.6602240801,0.2941119671,0.2044615627,1
sshclient,2000,140,20180409_203609_5652,2000,vagrant,80,18,0.9330773354,0.6051854955,0.6164866686,0.2940809727,0.1814859294,1
sshclient,2250,140,20180409_205539_9306,2250,vagrant,80,13,0.9184205532,0.5296779596,0.5794839859,0.2939908504,0.1820871583,1
